start in seconds	start hh:mm:ss.ms	annotations
85.0	00:01:25.0	0.8775
85.5	00:01:25.500	0.18311
86.0	00:01:26.0	0.18103
86.5	00:01:26.500	0.17492
87.0	00:01:27.0	0.18446
87.5	00:01:27.500	0.16089
88.0	00:01:28.0	0.18392
88.5	00:01:28.500	0.18501
89.0	00:01:29.0	0.89524
89.5	00:01:29.500	0.82189
90.0	00:01:30.0	0.88016
90.5	00:01:30.500	0.88864
91.0	00:01:31.0	0.84408
91.5	00:01:31.500	0.15721
92.0	00:01:32.0	0.20261
92.5	00:01:32.500	0.21028
93.0	00:01:33.0	0.18602
93.5	00:01:33.500	0.19375
94.0	00:01:34.0	0.20023
94.5	00:01:34.500	0.17717
95.0	00:01:35.0	0.16244
95.5	00:01:35.500	0.16186
96.0	00:01:36.0	0.18816
96.5	00:01:36.500	0.16215
97.0	00:01:37.0	0.89816
97.5	00:01:37.500	0.91969
98.0	00:01:38.0	0.17887
98.5	00:01:38.500	0.20827
99.0	00:01:39.0	0.20391
99.5	00:01:39.500	0.88478
100.0	00:01:40.0	0.9009
100.5	00:01:40.500	0.92084
101.0	00:01:41.0	0.89939
101.5	00:01:41.500	0.79664
102.0	00:01:42.0	0.70435
102.5	00:01:42.500	0.67054
103.0	00:01:43.0	0.89317
103.5	00:01:43.500	0.93276
104.0	00:01:44.0	0.93547
104.5	00:01:44.500	0.94192
105.0	00:01:45.0	0.9188
