start in seconds	annotations
0.5	0.15604
1	0.16924
1.5	0.14414
2.5	0.18643
5	0.16824
5.5	0.31359
6	0.27617
6.5	0.36073
7	0.37435
7.5	0.37104
8	0.32814
8.5	0.33507
9	0.36538
9.5	0.44946
10	0.40539
10.5	0.55936
11	0.48618
11.5	0.5703
12	0.65659
12.5	0.71136
13	0.72631
13.5	0.82488
14	0.88952
14.5	0.83183
15	0.86474
15.5	0.90764
16	0.89871
16.5	0.92613
17	0.923
17.5	0.92104
18	0.88614
18.5	0.89916
19	0.92771
19.5	0.91381
20	0.91478
20.5	0.93985
21	0.90094
21.5	0.92768
22	0.9512
22.5	0.95423
23	0.90747
23.5	0.95758
24	0.94933
24.5	0.94944
25	0.9545
25.5	0.96232
26	0.96413
26.5	0.96855
27	0.92552
27.5	0.91845
28	0.9406
28.5	0.93573
29	0.9476
36	0.03625
36.5	0.14004
37	0.14601
37.5	0.13997
38	0.21941
38.5	0.18865
39	0.18958
39.5	0.14839
40	0.2095
40.5	0.2067
41	0.1992
41.5	0.21089
42	0.2121
42.5	0.13522
43	0.15546
44	0.95932
44.5	0.9704
45	0.97918
45.5	0.94474
46	0.95152
46.5	0.96572
47	0.95638
47.5	0.93571
48	0.96923
48.5	0.92348
49	0.91823
49.5	0.96341
50	0.98188
50.5	0.98728
51	0.99884
51.5	0.9792
52	0.97064
52.5	0.98046
53	1.0
53.5	0.95267
54	0.98426
54.5	0.97532
55	0.98093
55.5	0.98414
56	0.99728
56.5	0.98918
57	0.98376
57.5	0.98425
58	0.95009
58.5	0.94081
59	0.97178
59.5	0.99181
60	0.98188
60.5	0.99533
61	0.98112
61.5	0.95071
62	0.93481
62.5	0.96908
63	0.98189
63.5	0.99076
64	0.96932
64.5	0.98388
65	0.96048
65.5	0.97319
66	0.9628
66.5	0.96306
67	0.98624
67.5	0.99364
68	0.99163
68.5	0.97032
69	0.97688
69.5	0.9453
70	0.93847
70.5	0.98079
71	0.99757
71.5	0.98569
72	0.99404
72.5	0.9496
73	0.97865
73.5	0.94958
74	0.95185
74.5	0.97589
75	0.98123
75.5	0.98208
76	0.98027
76.5	0.97191
80	0.1505
80.5	0.11375
81	0.11803
81.5	0.10332
82	0.11432
82.5	0.11701
83	0.19213
83.5	0.21184
84	0.17444
84.5	0.19548
85	0.16532
85.5	0.13321
86	0.14166
86.5	0.19213
87	0.14059
87.5	0.14692
88	0.16117
88.5	0.17173
89	0.17005
89.5	0.14522
90	0.12862
