start in seconds	annotations
0.5	3e-05
1	0.00303
1.5	4e-05
2.5	0.00012
5	0.00022
5.5	1e-05
6	2e-05
6.5	3e-05
7	5e-05
7.5	0.00188
8	0.25937
8.5	0.82768
9	0.03486
9.5	0.99967
10	0.50997
10.5	0.11713
11	0.15364
11.5	0.10793
12	0.25695
12.5	0.10758
13	0.12206
13.5	0.26073
14	0.24167
14.5	0.55099
15	0.28711
15.5	0.27063
16	0.42418
16.5	0.2147
17	0.24927
17.5	0.26508
18	0.2529
18.5	0.29288
19	0.75038
19.5	0.88131
20	0.5286
20.5	0.40771
21	0.25965
21.5	0.30461
22	0.25855
22.5	0.36654
23	0.18274
23.5	0.2672
24	0.36784
24.5	0.27056
25	0.43995
25.5	0.28514
26	0.27679
26.5	0.25043
27	0.33625
27.5	0.18431
28	0.32015
28.5	0.30997
29	0.31427
36	2e-05
36.5	0.56094
37	1.0
37.5	0.99961
38	0.48617
38.5	0.98316
39	0.65181
39.5	0.01231
40	1.0
40.5	0.99852
41	1.0
41.5	1.0
42	0.99997
42.5	0.99595
43	0.83021
44	3e-05
44.5	0.02659
45	0.03261
45.5	0.06598
46	0.05846
46.5	0.35581
47	0.33695
47.5	0.15904
48	0.19881
48.5	0.04675
49	0.29256
49.5	0.02237
50	0.01254
50.5	0.02647
51	0.11453
51.5	0.02549
52	0.05945
52.5	0.05953
53	0.0172
53.5	0.2729
54	0.06084
54.5	0.06467
55	0.16154
55.5	0.03116
56	0.05553
56.5	0.0638
57	0.05111
57.5	0.01197
58	0.82327
58.5	0.02256
59	0.05677
59.5	0.02606
60	0.01321
60.5	0.09854
61	0.04767
61.5	0.04939
62	0.2539
62.5	0.03709
63	0.1105
63.5	0.14721
64	0.05434
64.5	0.01096
65	0.09969
65.5	0.00567
66	0.2053
66.5	0.04892
67	0.03086
67.5	0.02339
68	0.0345
68.5	0.14417
69	0.03175
69.5	0.00294
70	0.00672
70.5	0.02331
71	0.0452
71.5	0.00336
72	0.0207
72.5	0.02054
73	0.12806
73.5	0.00756
74	0.02878
74.5	0.16163
75	0.00887
75.5	0.0615
76	0.00012
76.5	0.0001
80	0.00744
80.5	0.35615
81	0.00041
81.5	0.41294
82	0.00317
82.5	0.01723
83	0.08443
83.5	0.01671
84	0.19418
84.5	0.19829
85	0.93949
85.5	0.65777
86	0.06918
86.5	0.68391
87	0.54777
87.5	0.90678
88	0.95758
88.5	0.99977
89	0.99509
89.5	1.0
90	0.84719
