start in seconds	annotations
0.5	0.0
1	0.0
1.5	0.0
2.5	0.0
5	0.0
5.5	0.0
6	0.0
6.5	0.0
7	0.0
7.5	0.0
8	0.00066
8.5	0.00049
9	6e-05
9.5	0.00834
10	0.00195
10.5	9e-05
11	3e-05
11.5	0.00015
12	0.00252
12.5	0.00013
13	1e-05
13.5	0.00069
14	0.00717
14.5	0.00202
15	5e-05
15.5	0.00013
16	8e-05
16.5	0.00011
17	2e-05
17.5	1e-05
18	1e-05
18.5	2e-05
19	0.00073
19.5	0.00017
20	0.00649
20.5	8e-05
21	0.00278
21.5	1e-05
22	1e-05
22.5	0.00338
23	3e-05
23.5	3e-05
24	0.00054
24.5	4e-05
25	4e-05
25.5	2e-05
26	2e-05
26.5	2e-05
27	0.00403
27.5	0.0
28	8e-05
28.5	9e-05
29	0.00023
36	0.0
36.5	0.0013
37	0.05734
37.5	0.00016
38	0.0
38.5	0.0
39	0.00273
39.5	0.0
40	0.99255
40.5	0.97882
41	0.22125
41.5	0.60293
42	0.3661
42.5	0.02514
43	0.0002
44	0.0
44.5	0.0
45	0.0
45.5	0.00134
46	8e-05
46.5	0.00392
47	0.00022
47.5	3e-05
48	5e-05
48.5	0.0
49	0.00604
49.5	0.0
50	0.0
50.5	3e-05
51	2e-05
51.5	0.0
52	1e-05
52.5	1e-05
53	1e-05
53.5	0.00072
54	1e-05
54.5	0.0
55	1e-05
55.5	0.0
56	0.0
56.5	4e-05
57	5e-05
57.5	0.0
58	1e-05
58.5	0.0
59	0.0001
59.5	1e-05
60	0.0
60.5	1e-05
61	0.0
61.5	0.0
62	0.00048
62.5	0.00015
63	0.00092
63.5	8e-05
64	0.0
64.5	0.0
65	1e-05
65.5	0.0
66	0.0
66.5	0.0
67	1e-05
67.5	5e-05
68	1e-05
68.5	3e-05
69	0.0
69.5	0.0
70	0.0
70.5	1e-05
71	0.00014
71.5	0.0
72	2e-05
72.5	2e-05
73	0.00024
73.5	0.0
74	3e-05
74.5	0.00149
75	0.0
75.5	0.0
76	0.0
76.5	0.0
80	0.10903
80.5	1e-05
81	3e-05
81.5	0.0
82	0.0
82.5	1e-05
83	5e-05
83.5	0.0
84	0.00035
84.5	0.01005
85	0.00409
85.5	1e-05
86	0.0008
86.5	5e-05
87	2e-05
87.5	0.00548
88	0.0
88.5	0.0
89	0.0
89.5	0.0
90	0.0
