start in seconds	annotations
0	0.03742
0.2	0.02189
0.4	0.01005
0.6	0.00969
0.8	0.00803
1	0.0081
1.2	0.00839
1.4	0.00945
1.6	0.01171
1.8	0.01368
2	0.01232
2.2	0.00951
2.4	0.00687
2.6	0.00886
2.8	0.08764
3	0.1073
3.2	0.16481
3.4	0.17401
3.6	0.18556
3.8	0.21107
4	0.23794
4.2	0.22437
4.4	0.24294
4.6	0.21723
4.8	0.25421
5	0.26079
5.2	0.25844
5.4	0.26946
5.6	0.17829
5.8	0.12354
6	0.14707
6.2	0.15322
6.4	0.12815
6.6	0.06249
6.8	0.02351
7	0.03058
7.2	0.0097
7.4	0.0083
7.6	0.00783
7.8	0.00804
8	0.01195
8.2	0.00749
8.4	0.00357
8.6	0.0013
8.8	0.00152
9	0.00371
9.2	0.00734
9.4	0.00418
9.6	0.00227
9.8	0.00671
10	0.00679
10.2	0.00701
10.4	0.00287
10.6	0.01276
10.8	0.004
11	0.00747
11.2	0.00529
11.4	0.0018
11.6	0.00217
11.8	0.00382
12	0.01036
12.2	0.01102
12.4	0.02933
12.6	0.00446
12.8	0.00899
13	0.02544
13.2	0.03404
13.4	0.00397
13.6	0.0088
13.8	0.01455
14	0.005
14.2	0.00384
14.4	0.01462
14.6	0.00176
14.8	0.00108
15	0.00355
15.2	0.00031
15.4	0.00044
15.6	0.00051
15.8	0.00022
16	0.00057
16.2	8e-05
16.4	4e-05
16.6	2e-05
16.8	0.0
17	0.0
17.2	0.0
17.4	0.0
17.6	1e-05
17.8	1e-05
18	1e-05
18.2	1e-05
18.4	1e-05
18.6	0.0
18.8	0.0
19	0.0
19.2	0.0
19.4	0.0
19.6	0.0
19.8	0.0
20	0.0
20.2	0.0
20.4	0.0
20.6	0.0
20.8	0.0
21	0.0
21.2	1e-05
21.4	1e-05
21.6	1e-05
21.8	1e-05
22	1e-05
22.2	1e-05
22.4	1e-05
22.6	1e-05
22.8	1e-05
23	1e-05
23.2	1e-05
23.4	1e-05
23.6	1e-05
23.8	1e-05
24	1e-05
24.2	1e-05
24.4	1e-05
24.6	1e-05
24.8	1e-05
25	1e-05
25.2	1e-05
25.4	1e-05
25.6	1e-05
25.8	1e-05
26	1e-05
26.2	1e-05
26.4	1e-05
26.6	1e-05
26.8	1e-05
27	1e-05
27.2	1e-05
27.4	1e-05
27.6	1e-05
27.8	1e-05
28	2e-05
28.2	1e-05
28.4	1e-05
28.6	1e-05
28.8	1e-05
29	1e-05
29.2	1e-05
29.4	0.00265
29.6	0.00194
29.8	0.00237
30	0.00309
30.2	0.00441
30.4	0.00533
30.6	0.00613
30.8	0.00499
31	0.00253
31.2	0.00666
31.4	0.00501
31.6	0.00412
31.8	0.00422
32	0.00374
32.2	0.00411
32.4	0.00504
32.6	0.00747
32.8	0.00499
33	0.00276
33.2	0.00356
33.4	0.00393
33.6	0.00494
33.8	0.00394
34	0.00926
34.2	0.00328
34.4	0.00662
34.6	0.00452
34.8	0.00395
35	0.0109
35.2	0.01057
35.4	0.00655
35.6	0.01287
35.8	0.01614
36	0.00866
36.2	0.02895
36.4	0.01778
36.6	0.01179
36.8	0.00552
37	0.00279
37.2	0.00564
37.4	0.00805
37.6	0.00046
37.8	0.00226
38	0.0004
38.2	0.00014
38.4	9e-05
38.6	0.001
38.8	0.00062
39	6e-05
39.2	0.00045
39.4	0.00073
39.6	9e-05
39.8	1e-05
40	1e-05
40.2	0.01072
40.4	0.00749
40.6	0.00588
40.8	0.01751
41	0.01826
41.2	0.01834
41.4	0.00962
41.6	0.00616
41.8	0.01387
42	0.01691
42.2	0.00834
42.4	0.00165
42.6	0.00479
42.8	0.00364
43	0.00211
43.2	0.00263
43.4	0.00282
43.6	0.00506
43.8	0.01072
44	0.00379
44.2	0.00419
44.4	0.00371
44.6	0.00321
44.8	0.00343
45	0.00326
45.2	0.00264
45.4	0.0024
45.6	0.00236
45.8	0.0027
46	0.00271
46.2	0.00263
46.4	0.0025
46.6	0.0021
46.8	0.00254
47	0.00238
47.2	0.00254
47.4	0.00282
47.6	0.00341
47.8	0.00338
48	0.00382
48.2	0.00343
48.4	0.00307
48.6	0.00336
48.8	0.00353
49	0.00461
49.2	0.00507
49.4	0.00481
49.6	0.00434
49.8	0.00416
50	0.00446
50.2	0.00453
50.4	0.00451
50.6	0.00383
50.8	0.00335
51	0.00353
51.2	0.00361
51.4	0.00376
51.6	0.0043
51.8	0.00436
52	0.00415
52.2	0.00382
52.4	0.00426
52.6	0.00382
52.8	0.00419
53	0.00519
53.2	0.00409
53.4	0.00467
53.6	0.00489
53.8	0.004
54	0.00304
54.2	0.00279
54.4	0.00278
54.6	0.00287
54.8	0.00302
55	0.0035
55.2	0.00364
55.4	0.00379
55.6	0.00375
55.8	0.00429
56	0.00437
56.2	0.00394
56.4	0.00478
56.6	0.00476
56.8	0.00448
57	0.00406
57.2	0.0037
57.4	0.00351
57.6	0.00372
57.8	0.00375
58	0.00398
58.2	0.00414
58.4	0.00397
58.6	0.00408
58.8	0.00399
59	0.00423
59.2	0.00433
59.4	0.00427
59.6	0.00411
59.8	0.00388
60	0.00428
60.2	0.00409
60.4	0.00368
60.6	0.00415
60.8	0.00393
61	0.00348
61.2	0.00421
61.4	0.00448
61.6	0.00418
61.8	0.00385
62	0.00396
62.2	0.00335
62.4	0.00378
62.6	0.00322
62.8	0.00355
63	0.00343
63.2	0.00358
63.4	0.00374
63.6	0.00405
63.8	0.00353
64	0.00299
64.2	0.0033
64.4	0.0032
64.6	0.00347
64.8	0.00394
65	0.00352
65.2	0.0037
65.4	0.00375
65.6	0.00348
65.8	0.00384
66	0.00391
66.2	0.00443
66.4	0.00457
66.6	0.00487
66.8	0.00459
67	0.00433
67.2	0.00427
67.4	0.0047
67.6	0.0048
67.8	0.00499
68	0.0039
68.2	0.0043
68.4	0.00464
68.6	0.00472
68.8	0.00484
69	0.00486
69.2	0.00448
69.4	0.00427
69.6	0.0047
69.8	0.00496
70	0.00526
70.2	0.00531
70.4	0.00515
70.6	0.00495
70.8	0.00502
71	0.00544
71.2	0.00602
71.4	0.0062
71.6	0.00538
71.8	0.00551
72	0.00549
72.2	0.00495
72.4	0.00558
72.6	0.00547
72.8	0.00521
73	0.00443
73.2	0.00452
73.4	0.00446
73.6	0.00521
73.8	0.00532
74	0.00553
74.2	0.00492
74.4	0.00503
74.6	0.00357
74.8	0.00309
75	0.00324
75.2	0.00345
75.4	0.0034
75.6	0.00411
75.8	0.00381
76	0.00376
76.2	0.00364
76.4	0.00392
76.6	0.0035
76.8	0.00447
77	0.00531
77.2	0.00029
77.4	0.00023
77.6	0.00036
77.8	0.00029
78	0.00027
78.2	0.00017
78.4	0.00016
78.6	0.00011
78.8	0.00011
79	0.00011
79.2	0.00014
79.4	0.00014
79.6	0.00017
79.8	0.00018
80	0.01113
80.2	0.0167
80.4	0.01048
80.6	0.00845
80.8	0.0096
81	0.00956
81.2	0.01139
81.4	0.01563
81.6	0.01446
81.8	0.01021
82	0.01606
82.2	0.01298
82.4	0.01121
82.6	0.00576
82.8	0.00645
83	9e-05
83.2	8e-05
83.4	0.0001
83.6	0.00012
83.8	0.00023
84	7e-05
84.2	0.00011
84.4	0.00021
84.6	0.00033
84.8	0.00011
85	0.00011
85.2	7e-05
85.4	0.15672
85.6	0.15954
85.8	0.24462
86	0.05833
86.2	0.11181
86.4	0.08922
86.6	0.05832
86.8	0.05601
87	0.08663
87.2	0.3005
87.4	0.13615
87.6	0.14481
87.8	0.08927
88	0.00022
88.2	0.00089
88.4	0.0018
88.6	0.00049
88.8	0.0005
89	0.00021
89.2	0.00265
89.4	0.0054
89.6	0.00125
89.8	0.00031
90	0.00178
