start in seconds	annotations
0.5	0.32139
1	0.24661
1.5	0.20482
2.5	0.17934
5	0.81496
5.5	0.72433
6	0.14814
6.5	0.38183
7	0.17887
7.5	0.10902
8	0.82587
8.5	0.65034
9	0.98462
9.5	0.5429
10	0.86851
10.5	0.81443
11	0.66245
11.5	0.32353
12	0.62638
12.5	0.53085
13	0.05886
13.5	0.94887
14	0.66881
14.5	0.90732
15	0.86009
15.5	0.65074
16	0.45535
16.5	0.7172
17	0.46221
17.5	0.47367
18	0.77417
18.5	0.63217
19	0.65863
19.5	0.2187
20	0.55482
20.5	0.50655
21	0.41722
21.5	0.51245
22	0.63302
22.5	0.51634
23	0.56471
23.5	0.5955
24	0.53839
24.5	0.48828
25	0.50176
25.5	0.43746
26	0.55678
26.5	0.55825
27	0.57526
27.5	0.52925
28	0.57224
28.5	0.55623
29	0.52469
36	0.01197
36.5	0.86032
37	0.91698
37.5	0.95645
38	0.53521
38.5	0.89659
39	0.30476
39.5	0.13277
40	0.99998
40.5	0.99982
41	1.0
41.5	1.0
42	0.99997
42.5	1.0
43	0.99971
44	1e-05
44.5	0.03056
45	0.02847
45.5	0.01784
46	0.01237
46.5	0.56516
47	0.14385
47.5	0.19969
48	0.31727
48.5	0.11064
49	0.16292
49.5	0.01979
50	0.00265
50.5	0.1603
51	0.00553
51.5	0.0357
52	0.08923
52.5	0.08603
53	0.14627
53.5	0.03995
54	0.03195
54.5	0.17759
55	0.02366
55.5	0.03806
56	0.00919
56.5	0.04098
57	0.01895
57.5	0.02288
58	0.0956
58.5	0.04524
59	0.31956
59.5	0.31757
60	0.00296
60.5	0.02655
61	0.23576
61.5	0.22031
62	0.05651
62.5	0.4315
63	0.25166
63.5	0.31604
64	0.0333
64.5	0.12758
65	0.17522
65.5	0.00403
66	0.02882
66.5	0.10162
67	0.07205
67.5	0.00918
68	0.18015
68.5	0.20249
69	0.01156
69.5	0.00403
70	0.00959
70.5	0.14593
71	0.21095
71.5	0.02436
72	0.05817
72.5	0.00818
73	0.69477
73.5	0.64564
74	0.46651
74.5	0.17075
75	0.00985
75.5	0.28039
76	1e-05
76.5	4e-05
80	0.99202
80.5	0.54514
81	0.54827
81.5	0.30606
82	0.60411
82.5	0.9583
83	0.99588
83.5	0.89725
84	0.85032
84.5	0.99963
85	0.0217
85.5	0.02749
86	0.07041
86.5	0.00815
87	0.10412
87.5	0.20494
88	0.06946
88.5	0.23178
89	0.76488
89.5	0.94172
90	0.69918
