start in seconds	annotations
0	0.47545
0.2	0.41948
0.4	0.42945
0.6	0.43408
0.8	0.42315
1	0.41446
1.2	0.36216
1.4	0.32145
1.6	0.32639
1.8	0.33682
2	0.33682
2.2	0.35122
2.4	0.4967
2.6	0.46413
2.8	0.33893
3	0.35321
3.2	0.30828
3.4	0.30317
3.6	0.28119
3.8	0.32979
4	0.31197
4.2	0.32132
4.4	0.34808
4.6	0.382
4.8	0.34545
5	0.34393
5.2	0.33085
5.4	0.25873
5.6	0.4513
5.8	0.44804
6	0.46603
6.2	0.4335
6.4	0.41408
6.6	0.43677
6.8	0.30108
7	0.32132
7.2	0.36962
7.4	0.55007
7.6	0.5475
7.8	0.73655
8	0.79454
8.2	0.77704
8.4	0.88183
8.6	0.83969
8.8	0.90952
9	0.8082
9.2	0.83052
9.4	0.94129
9.6	0.92499
9.8	0.89604
10	0.93165
10.2	0.92758
10.4	0.9504
10.6	0.86026
10.8	0.9337
11	0.9356
11.2	0.94995
11.4	0.95981
11.6	0.98429
11.8	0.95574
12	0.94384
12.2	0.94379
12.4	0.84979
12.6	0.92748
12.8	0.93644
13	0.80631
13.2	0.30655
13.4	0.95536
13.6	0.853
13.8	0.81561
14	0.96669
14.2	0.92772
14.4	0.90187
14.6	0.78061
14.8	0.4834
15	0.46813
15.2	0.43661
15.4	0.13421
15.6	0.282
15.8	0.08141
16	0.04878
16.2	0.00901
16.4	0.00684
16.6	0.00367
16.8	0.00093
17	0.00099
17.2	0.00093
17.4	0.00084
17.6	0.00091
17.8	0.00076
18	0.00211
18.2	0.00149
18.4	0.00133
18.6	0.00104
18.8	0.00101
19	0.00065
19.2	0.00067
19.4	0.00086
19.6	0.00088
19.8	0.00069
20	0.00076
20.2	0.00137
20.4	0.00109
20.6	0.00091
20.8	0.00104
21	0.00134
21.2	0.00162
21.4	0.00204
21.6	0.00249
21.8	0.00212
22	0.00216
22.2	0.00199
22.4	0.00294
22.6	0.00283
22.8	0.00319
23	0.00295
23.2	0.00281
23.4	0.00287
23.6	0.00305
23.8	0.00345
24	0.00467
24.2	0.00463
24.4	0.00443
24.6	0.00497
24.8	0.00503
25	0.00271
25.2	0.00321
25.4	0.00322
25.6	0.00305
25.8	0.00353
26	0.00348
26.2	0.00314
26.4	0.00354
26.6	0.00331
26.8	0.00319
27	0.00262
27.2	0.00282
27.4	0.00346
27.6	0.00425
27.8	0.00415
28	0.00457
28.2	0.00434
28.4	0.00443
28.6	0.00466
28.8	0.00442
29	0.00428
29.2	0.00401
29.4	0.27063
29.6	0.2263
29.8	0.24779
30	0.2862
30.2	0.27473
30.4	0.28906
30.6	0.27084
30.8	0.25462
31	0.27991
31.2	0.303
31.4	0.2618
31.6	0.25512
31.8	0.21282
32	0.22773
32.2	0.28586
32.4	0.28614
32.6	0.33924
32.8	0.33199
33	0.36945
33.2	0.37304
33.4	0.29793
33.6	0.33562
33.8	0.26213
34	0.3432
34.2	0.43461
34.4	0.47803
34.6	0.44481
34.8	0.43187
35	0.22053
35.2	0.20362
35.4	0.31045
35.6	0.32592
35.8	0.36493
36	0.43721
36.2	0.26478
36.4	0.28065
36.6	0.24197
36.8	0.00646
37	0.00391
37.2	0.00204
37.4	0.00054
37.6	0.00047
37.8	0.00111
38	0.00473
38.2	0.00707
38.4	0.00036
38.6	0.00252
38.8	0.00096
39	0.00122
39.2	0.00545
39.4	0.02233
39.6	0.00071
39.8	0.00051
40	0.00031
40.2	0.89569
40.4	0.89882
40.6	0.90966
40.8	0.68543
41	0.75238
41.2	0.80479
41.4	0.76717
41.6	0.84688
41.8	0.73876
42	0.59502
42.2	0.54433
42.4	0.80213
42.6	0.27266
42.8	0.38168
43	0.51026
43.2	0.47924
43.4	0.41386
43.6	0.4636
43.8	0.38372
44	0.03198
44.2	0.03493
44.4	0.03866
44.6	0.04742
44.8	0.05732
45	0.05177
45.2	0.03786
45.4	0.03938
45.6	0.03687
45.8	0.04371
46	0.04485
46.2	0.03138
46.4	0.02917
46.6	0.02935
46.8	0.03043
47	0.02687
47.2	0.02743
47.4	0.02139
47.6	0.02041
47.8	0.01834
48	0.01927
48.2	0.02176
48.4	0.02335
48.6	0.0235
48.8	0.02851
49	0.04196
49.2	0.042
49.4	0.03644
49.6	0.03459
49.8	0.03256
50	0.03372
50.2	0.03222
50.4	0.04017
50.6	0.03766
50.8	0.03763
51	0.03221
51.2	0.03563
51.4	0.03461
51.6	0.03564
51.8	0.03104
52	0.03256
52.2	0.0287
52.4	0.03204
52.6	0.03515
52.8	0.03515
53	0.03496
53.2	0.03342
53.4	0.03374
53.6	0.03731
53.8	0.03387
54	0.0338
54.2	0.03493
54.4	0.03148
54.6	0.03003
54.8	0.02847
55	0.03118
55.2	0.02786
55.4	0.03566
55.6	0.03247
55.8	0.03929
56	0.0393
56.2	0.03538
56.4	0.04503
56.6	0.042
56.8	0.04324
57	0.04169
57.2	0.03677
57.4	0.03385
57.6	0.03177
57.8	0.03046
58	0.03208
58.2	0.03567
58.4	0.03062
58.6	0.03045
58.8	0.02986
59	0.02747
59.2	0.02867
59.4	0.02799
59.6	0.024
59.8	0.0245
60	0.0268
60.2	0.02739
60.4	0.03628
60.6	0.03727
60.8	0.03352
61	0.02927
61.2	0.03444
61.4	0.03167
61.6	0.03061
61.8	0.02808
62	0.02966
62.2	0.03019
62.4	0.03458
62.6	0.02427
62.8	0.02996
63	0.02809
63.2	0.03097
63.4	0.0299
63.6	0.03327
63.8	0.03223
64	0.03335
64.2	0.03508
64.4	0.03219
64.6	0.03259
64.8	0.03084
65	0.027
65.2	0.02812
