start in seconds	annotations
0	0.37118
0.2	0.50156
0.4	0.51199
0.6	0.50799
0.8	0.5215
1	0.53062
1.2	0.58728
1.4	0.63184
1.6	0.62029
1.8	0.60604
2	0.61348
2.2	0.60864
2.4	0.46934
2.6	0.49697
2.8	0.49944
3	0.4609
3.2	0.42126
3.4	0.41439
3.6	0.43281
3.8	0.34969
4	0.33917
4.2	0.34904
4.4	0.2778
4.6	0.27619
4.8	0.27625
5	0.2753
5.2	0.28021
5.4	0.32706
5.6	0.22771
5.8	0.29135
6	0.26105
6.2	0.28396
6.4	0.34963
6.6	0.40991
6.8	0.63801
7	0.60648
7.2	0.60053
7.4	0.41847
7.6	0.42473
7.8	0.23438
8	0.16917
8.2	0.19154
8.4	0.0741
8.6	0.13808
8.8	0.03235
9	0.06949
9.2	0.05777
9.4	0.02716
9.6	0.0467
9.8	0.03039
10	0.02613
10.2	0.0246
10.4	0.02194
10.6	0.01619
10.8	0.01409
11	0.01938
11.2	0.02248
11.4	0.03034
11.6	0.00678
11.8	0.01111
12	0.02513
12.2	0.02222
12.4	0.02648
12.6	0.02594
12.8	0.01278
13	0.00885
13.2	0.00378
13.4	0.00175
13.6	0.00784
13.8	0.00896
14	0.00744
14.2	0.00408
14.4	0.0129
14.6	0.00312
14.8	0.00048
15	0.00056
15.2	6e-05
15.4	0.00011
15.6	0.00062
15.8	9e-05
16	0.00013
16.2	2e-05
16.4	0.0
16.6	0.0
16.8	0.0
17	0.0
17.2	0.0
17.4	0.0
17.6	0.0
17.8	0.0
18	0.0
18.2	0.0
18.4	1e-05
18.6	1e-05
18.8	1e-05
19	1e-05
19.2	1e-05
19.4	1e-05
19.6	1e-05
19.8	1e-05
20	1e-05
20.2	1e-05
20.4	1e-05
20.6	1e-05
20.8	1e-05
21	1e-05
21.2	2e-05
21.4	1e-05
21.6	1e-05
21.8	1e-05
22	1e-05
22.2	1e-05
22.4	1e-05
22.6	1e-05
22.8	1e-05
23	1e-05
23.2	1e-05
23.4	1e-05
23.6	1e-05
23.8	1e-05
24	1e-05
24.2	1e-05
24.4	1e-05
24.6	1e-05
24.8	1e-05
25	1e-05
25.2	1e-05
25.4	1e-05
25.6	1e-05
25.8	1e-05
26	1e-05
26.2	1e-05
26.4	1e-05
26.6	1e-05
26.8	1e-05
27	1e-05
27.2	1e-05
27.4	1e-05
27.6	1e-05
27.8	1e-05
28	1e-05
28.2	1e-05
28.4	1e-05
28.6	1e-05
28.8	1e-05
29	1e-05
29.2	1e-05
29.4	0.71652
29.6	0.76408
29.8	0.74121
30	0.69872
30.2	0.70499
30.4	0.68734
30.6	0.70732
30.8	0.72463
31	0.70506
31.2	0.66765
31.4	0.71164
31.6	0.72535
31.8	0.77014
32	0.75477
32.2	0.69585
32.4	0.69383
32.6	0.62947
32.8	0.64811
33	0.60852
33.2	0.59961
33.4	0.67997
33.6	0.63071
33.8	0.71814
34	0.62327
34.2	0.55155
34.4	0.4961
34.6	0.53445
34.8	0.55345
35	0.74458
35.2	0.76248
35.4	0.66432
35.6	0.62638
35.8	0.57976
36	0.51717
36.2	0.6608
36.4	0.66344
36.6	0.71049
36.8	0.00011
37	0.00108
37.2	0.0003
37.4	5e-05
37.6	2e-05
37.8	6e-05
38	0.00022
38.2	6e-05
38.4	1e-05
38.6	0.0001
38.8	9e-05
39	3e-05
39.2	0.00062
39.4	0.00048
39.6	2e-05
39.8	1e-05
40	0.0
40.2	0.05206
40.4	0.06388
40.6	0.0568
40.8	0.22515
41	0.15996
41.2	0.11273
41.4	0.17791
41.6	0.11036
41.8	0.17389
42	0.26925
42.2	0.37375
42.4	0.18162
42.6	0.69831
42.8	0.58828
43	0.47748
43.2	0.50322
43.4	0.57235
43.6	0.50966
43.8	0.56489
44	0.00111
44.2	0.00128
44.4	0.00128
44.6	0.00133
44.8	0.00167
45	0.0016
45.2	0.00136
45.4	0.00132
45.6	0.00116
45.8	0.0012
46	0.00112
46.2	0.00102
46.4	0.00096
46.6	0.00084
46.8	0.00096
47	0.00105
47.2	0.00127
47.4	0.0011
47.6	0.00132
47.8	0.00126
48	0.00119
48.2	0.00127
48.4	0.00114
48.6	0.00113
48.8	0.00122
49	0.00161
49.2	0.00155
49.4	0.00134
