start in seconds	annotations
0	0.05574
0.2	0.03188
0.4	0.03197
0.6	0.03206
0.8	0.03178
1	0.03101
1.2	0.02642
1.4	0.0212
1.6	0.02338
1.8	0.02385
2	0.02057
2.2	0.01769
2.4	0.01879
2.6	0.01973
2.8	0.02681
3	0.02931
3.2	0.03466
3.4	0.03539
3.6	0.03125
3.8	0.037
4	0.03435
4.2	0.03275
4.4	0.04153
4.6	0.0405
4.8	0.03861
5	0.03513
5.2	0.03952
5.4	0.03868
5.6	0.05381
5.8	0.05742
6	0.04694
6.2	0.04779
6.4	0.03783
6.6	0.04071
6.8	0.01739
7	0.01824
7.2	0.01088
7.4	0.01419
7.6	0.01137
7.8	0.01253
8	0.01584
8.2	0.01717
8.4	0.03511
8.6	0.01825
8.8	0.05283
9	0.1094
9.2	0.08836
9.4	0.0222
9.6	0.02115
9.8	0.05421
10	0.02903
10.2	0.03483
10.4	0.02102
10.6	0.09039
10.8	0.04253
11	0.03074
11.2	0.01872
11.4	0.00676
11.6	0.00576
11.8	0.02586
12	0.01479
12.2	0.01763
12.4	0.06874
12.6	0.0354
12.8	0.03222
13	0.08818
13.2	0.26934
13.4	0.03473
13.6	0.09674
13.8	0.1062
14	0.01629
14.2	0.05946
14.4	0.05414
14.6	0.20603
14.8	0.50561
15	0.51464
15.2	0.56062
15.4	0.85491
15.6	0.70965
15.8	0.911
16	0.92585
16.2	0.97187
16.4	0.98344
16.6	0.98983
16.8	0.99472
17	0.99473
17.2	0.99394
17.4	0.99404
17.6	0.99269
17.8	0.99319
18	0.99232
18.2	0.99244
18.4	0.99115
18.6	0.99123
18.8	0.99262
19	0.99292
19.2	0.99388
19.4	0.99356
19.6	0.99353
19.8	0.99282
20	0.99404
20.2	0.99409
20.4	0.99384
20.6	0.99393
20.8	0.99391
21	0.99428
21.2	0.99363
21.4	0.99311
21.6	0.99267
21.8	0.9927
22	0.99273
22.2	0.99288
22.4	0.99398
22.6	0.99402
22.8	0.99312
23	0.99319
23.2	0.9934
23.4	0.99331
23.6	0.99324
23.8	0.99276
24	0.99144
24.2	0.99197
24.4	0.99175
24.6	0.99139
24.8	0.99141
25	0.99364
25.2	0.9931
25.4	0.99285
25.6	0.9932
25.8	0.99305
26	0.9933
26.2	0.99381
26.4	0.99311
26.6	0.99308
26.8	0.99309
27	0.99374
