start in seconds	annotations
0.5	0.00142
1	5e-05
1.5	0.52521
2.5	0.01418
5	0.00332
5.5	0.00056
6	0.00195
6.5	0.01798
7	0.01218
7.5	0.04356
8	0.93376
8.5	0.99991
9	0.93546
9.5	0.99367
10	0.99108
10.5	0.9821
11	0.97285
11.5	0.45789
12	0.33386
12.5	0.48233
13	0.588
13.5	0.36704
14	0.99953
14.5	0.97842
15	0.9634
15.5	0.92585
16	0.91973
16.5	0.95541
17	0.97819
17.5	0.99745
18	0.9899
18.5	0.95007
19	0.90242
19.5	0.98305
20	0.88652
20.5	0.95697
21	0.96376
21.5	0.97579
22	0.98195
22.5	0.96846
23	0.9734
23.5	0.98069
24	0.88998
24.5	0.91123
25	0.96646
25.5	0.97763
26	0.9882
26.5	0.9804
27	0.93468
27.5	0.99094
28	0.91531
28.5	0.96175
29	0.93408
36	0.094
36.5	0.94403
37	0.4468
37.5	0.90177
38	0.99796
38.5	0.35173
39	0.95268
39.5	0.92555
40	1.0
40.5	1.0
41	1.0
41.5	1.0
42	1.0
42.5	0.99996
43	0.95326
44	0.98401
44.5	0.6952
45	0.83726
45.5	0.57616
46	0.70364
46.5	0.02136
47	0.34936
47.5	0.35738
48	0.33367
48.5	0.47143
49	0.09396
49.5	0.57626
50	0.74042
50.5	0.36075
51	0.5802
51.5	0.8317
52	0.47549
52.5	0.66612
53	0.44048
53.5	0.45682
54	0.57669
54.5	0.45409
55	0.44601
55.5	0.71458
56	0.7852
56.5	0.45515
57	0.53363
57.5	0.66374
58	0.01366
58.5	0.71431
59	0.00057
59.5	0.34326
60	0.68839
60.5	0.51931
61	0.23423
61.5	0.10192
62	0.41965
62.5	0.15051
63	0.32959
63.5	0.2844
64	0.66138
64.5	0.55658
65	0.11927
65.5	0.7511
66	0.20912
66.5	0.16216
67	0.52285
67.5	0.73217
68	0.43473
68.5	0.22492
69	0.79055
69.5	0.76921
70	0.74994
70.5	0.48815
71	0.10621
71.5	0.62156
72	0.6016
72.5	0.66168
73	0.00267
73.5	0.10543
74	0.00267
74.5	0.26411
75	0.88795
75.5	0.24192
76	0.99584
76.5	0.9871
80	0.6801
80.5	0.99622
81	0.57952
81.5	0.90706
82	0.68525
82.5	0.95785
83	0.99131
83.5	0.98788
84	0.97393
84.5	0.99694
85	0.00103
85.5	0.00014
86	0.00013
86.5	0.00163
87	0.00107
87.5	0.0013
88	0.10412
88.5	0.13455
89	0.02939
89.5	0.00024
90	0.01096
