start in seconds	annotations
0	0.0
0.064	0.00019
0.128	0.0004
0.192	0.00057
0.256	0.00066
0.32	0.00124
0.384	0.00143
0.448	0.00183
0.512	0.00212
0.576	0.00203
0.64	0.00376
0.704	0.00436
0.768	0.00538
0.832	0.00581
0.896	0.00511
0.96	0.00581
1.024	0.00584
1.088	0.00584
1.152	0.00589
1.216	0.00546
1.28	0.00592
1.344	0.00634
1.408	0.0087
1.472	0.01035
1.536	0.01097
1.6	0.01309
1.664	0.01498
1.728	0.01754
1.792	0.02003
1.856	0.02179
1.92	0.02552
1.984	0.02672
2.048	0.02805
2.112	0.02756
2.176	0.02468
2.24	0.02683
2.304	0.02564
2.368	0.22587
2.432	0.43653
2.496	0.56178
2.56	0.63376
2.624	0.64583
2.688	0.5841
2.752	0.50554
2.816	0.44847
2.88	0.42209
2.944	0.39642
3.008	0.38745
3.072	0.40036
3.136	0.40297
3.2	0.38139
3.264	0.37543
3.328	0.35468
3.392	0.32169
3.456	0.32464
3.52	0.33358
3.584	0.35257
3.648	0.35699
3.712	0.38259
3.776	0.39854
3.84	0.38299
3.904	0.38389
3.968	0.35889
4.032	0.42815
4.096	0.47562
4.16	0.50645
4.224	0.49834
4.288	0.42614
4.352	0.40183
4.416	0.35028
4.48	0.34489
4.544	0.37478
4.608	0.39516
4.672	0.39865
4.736	0.42058
4.8	0.4195
4.864	0.38507
4.928	0.46401
4.992	0.49906
5.056	0.46366
5.12	0.47063
5.184	0.41232
5.248	0.33795
5.312	0.41836
5.376	0.45225
5.44	0.49778
5.504	0.54965
5.568	0.51369
5.632	0.49837
5.696	0.49346
5.76	0.52539
5.824	0.52663
5.888	0.47999
5.952	0.40227
6.016	0.32254
6.08	0.35807
6.144	0.36436
6.208	0.46579
6.272	0.43745
6.336	0.41089
6.4	0.47289
6.464	0.39703
6.528	0.45218
6.592	0.41663
6.656	0.34569
6.72	0.39644
6.784	0.38536
6.848	0.41698
6.912	0.42884
6.976	0.36977
7.04	0.29321
7.104	0.23205
7.168	0.21541
7.232	0.25781
7.296	0.30221
7.36	0.36665
7.424	0.41217
7.488	0.47138
7.552	0.53516
7.616	0.57472
7.68	0.59789
7.744	0.61227
7.808	0.61529
7.872	0.60132
7.936	0.58596
8	0.55517
8.064	0.52085
8.128	0.50098
8.192	0.50599
8.256	0.50046
8.32	0.48602
8.384	0.47547
8.448	0.46553
8.512	0.4397
8.576	0.43545
8.64	0.43412
8.704	0.43703
8.768	0.44788
8.832	0.46416
8.896	0.48368
8.96	0.47002
9.024	0.48748
9.088	0.48562
9.152	0.46258
9.216	0.46838
9.28	0.46029
9.344	0.46083
9.408	0.46687
9.472	0.49521
9.536	0.50528
9.6	0.5134
9.664	0.52064
9.728	0.47755
9.792	0.4306
9.856	0.40649
9.92	0.40357
9.984	0.41171
10.048	0.42948
10.112	0.41566
10.176	0.36917
10.24	0.32611
10.304	0.27843
10.368	0.23427
10.432	0.23244
10.496	0.26204
10.56	0.32479
10.624	0.3816
10.688	0.42776
10.752	0.44101
10.816	0.41587
10.88	0.40909
10.944	0.36863
11.008	0.33952
11.072	0.38121
11.136	0.42039
11.2	0.50855
11.264	0.57552
11.328	0.58054
11.392	0.55926
11.456	0.48198
11.52	0.38957
11.584	0.31162
11.648	0.26007
11.712	0.29854
11.776	0.36031
11.84	0.45067
11.904	0.49549
11.968	0.52664
12.032	0.50986
12.096	0.44028
12.16	0.39264
12.224	0.29872
12.288	0.29153
12.352	0.31973
12.416	0.34008
12.48	0.37846
12.544	0.40456
12.608	0.43121
12.672	0.43943
12.736	0.45516
12.8	0.45912
12.864	0.46213
12.928	0.46036
12.992	0.44095
13.056	0.43209
13.12	0.42471
13.184	0.43567
13.248	0.44721
13.312	0.45411
13.376	0.45146
13.44	0.43504
13.504	0.41605
13.568	0.39928
13.632	0.37885
13.696	0.36445
13.76	0.37148
13.824	0.36965
13.888	0.36756
13.952	0.388
14.016	0.4063
14.08	0.4063
14.144	0.42465
14.208	0.43224
14.272	0.42031
14.336	0.41966
14.4	0.41335
14.464	0.39369
14.528	0.38523
14.592	0.46297
14.656	0.50555
14.72	0.50849
14.784	0.48654
14.848	0.44318
14.912	0.35516
14.976	0.40443
15.04	0.47778
15.104	0.44026
15.168	0.43531
15.232	0.43034
15.296	0.46006
15.36	0.47568
15.424	0.55207
15.488	0.57331
15.552	0.54584
15.616	0.56655
15.68	0.546
15.744	0.46632
15.808	0.38407
15.872	0.28697
15.936	0.19891
16	0.20869
16.064	0.323
16.128	0.37922
16.192	0.38268
16.256	0.44691
16.32	0.47484
16.384	0.52562
16.448	0.56599
16.512	0.51032
16.576	0.47774
16.64	0.45132
