start in seconds	annotations
0.5	0.67717
1	0.75031
1.5	0.26085
2.5	0.80634
5	0.18132
5.5	0.2751
6	0.84988
6.5	0.60015
7	0.8089
7.5	0.84554
8	0.99515
8.5	0.87181
9	0.85018
9.5	0.62337
10	0.6669
10.5	0.55263
11	0.56125
11.5	0.94262
12	0.7857
12.5	0.67242
13	0.33369
13.5	0.37137
14	0.23765
14.5	0.58851
15	0.21641
15.5	0.49693
16	0.58906
16.5	0.4548
17	0.53938
17.5	0.52365
18	0.36041
18.5	0.47769
19	0.54787
19.5	0.66689
20	0.52094
20.5	0.46079
21	0.85125
21.5	0.50156
22	0.40395
22.5	0.5983
23	0.52949
23.5	0.47874
24	0.6699
24.5	0.7092
25	0.49683
25.5	0.59885
26	0.53619
26.5	0.53451
27	0.46911
27.5	0.51747
28	0.49889
28.5	0.62363
29	0.43592
36	0.00229
36.5	0.99993
37	0.78815
37.5	0.64017
38	0.99902
38.5	0.1355
39	0.98468
39.5	0.99988
40	1.0
40.5	1.0
41	1.0
41.5	1.0
42	1.0
42.5	1.0
43	0.99995
44	0.00159
44.5	0.01607
45	0.02388
45.5	0.19523
46	0.18888
46.5	0.01037
47	0.13281
47.5	0.20779
48	0.07834
48.5	0.18018
49	0.39103
49.5	0.37526
50	0.06196
50.5	0.3402
51	0.05939
51.5	0.07888
52	0.19657
52.5	0.0902
53	0.14804
53.5	0.12543
54	0.14079
54.5	0.15684
55	0.1191
55.5	0.20048
56	0.06858
56.5	0.03977
57	0.37919
57.5	0.0923
58	0.00732
58.5	0.15358
59	0.00033
59.5	0.08576
60	0.08292
60.5	0.33207
61	0.34314
61.5	0.16278
62	0.19908
62.5	0.26995
63	0.10277
63.5	0.13542
64	0.19427
64.5	0.21848
65	0.01122
65.5	0.22866
66	0.05341
66.5	0.5219
67	0.1486
67.5	0.09186
68	0.11145
68.5	0.19182
69	0.14761
69.5	0.13351
70	0.07028
70.5	0.28232
71	0.43977
71.5	0.16607
72	0.16944
72.5	0.04141
73	0.00104
73.5	0.01059
74	0.00062
74.5	0.3549
75	0.01679
75.5	0.02142
76	0.00155
76.5	0.0011
80	0.19499
80.5	0.29505
81	0.73112
81.5	0.63021
82	0.79337
82.5	0.11951
83	0.95716
83.5	0.96795
84	0.92493
84.5	0.65194
85	0.06039
85.5	0.33596
86	0.91399
86.5	0.31192
87	0.36742
87.5	0.11153
88	0.97324
88.5	0.62738
89	0.18249
89.5	0.05791
90	0.16778
