start in seconds	annotations
0	0.26868
0.0999935	0.26876
0.199987	0.26881
0.29998	0.26883
0.399974	0.26883
0.499967	0.2688
0.599961	0.26874
0.699954	0.26867
0.799948	0.26856
0.899941	0.26843
0.999935	0.26828
1.09993	0.2681
1.19992	0.2679
1.29991	0.26768
1.39991	0.26743
1.4999	0.26715
1.5999	0.26685
1.69989	0.26653
1.79988	0.26618
1.89988	0.26581
1.99987	0.26542
2.09986	0.26501
2.19986	0.26457
2.29985	0.26411
2.39984	0.26362
2.49984	0.26312
2.59983	0.26259
2.69982	0.26204
2.79982	0.26147
2.89981	0.26088
2.9998	0.26026
3.0998	0.25963
3.19979	0.25898
3.29978	0.2583
3.39978	0.25761
3.49977	0.2569
3.59976	0.25616
3.69976	0.25541
3.79975	0.25464
3.89974	0.25386
3.99974	0.25305
4.09973	0.25223
4.19972	0.25139
4.29972	0.25053
4.39971	0.24966
4.49971	0.24877
4.5997	0.24787
4.69969	0.24695
4.79969	0.24601
4.89968	0.24506
4.99967	0.2441
5.09967	0.24312
5.19966	0.24213
5.29965	0.24113
5.39965	0.24011
5.49964	0.23909
5.59963	0.23805
5.69963	0.237
5.79962	0.23594
5.89961	0.23487
5.99961	0.23379
6.0996	0.2327
6.19959	0.2316
6.29959	0.23049
6.39958	0.22937
6.49957	0.22825
6.59957	0.22712
6.69956	0.22598
6.79955	0.22484
6.89955	0.22369
6.99954	0.22253
7.09954	0.22138
7.19953	0.22021
7.29952	0.21904
7.39952	0.21787
7.49951	0.2167
7.5995	0.21552
7.6995	0.21434
7.79949	0.21316
7.89948	0.21198
7.99948	0.2108
8.09947	0.20962
8.19946	0.20844
8.29946	0.20726
8.39945	0.20608
8.49944	0.2049
8.59944	0.20373
8.69943	0.20256
8.79942	0.20139
8.89942	0.20022
8.99941	0.19906
9.0994	0.1979
9.1994	0.19675
9.29939	0.19561
9.39938	0.19447
9.49938	0.19333
9.59937	0.19221
9.69936	0.19109
9.79936	0.18998
9.89935	0.18887
9.99935	0.18778
10.0993	0.18669
10.1993	0.18562
10.2993	0.18455
10.3993	0.1835
10.4993	0.18246
10.5993	0.18142
10.6993	0.1804
10.7993	0.17939
10.8993	0.1784
10.9993	0.17742
11.0993	0.17645
11.1993	0.17549
11.2993	0.17455
11.3993	0.17362
11.4992	0.17271
11.5992	0.17181
11.6992	0.17093
11.7992	0.17007
11.8992	0.16922
11.9992	0.16839
12.0992	0.16758
12.1992	0.16678
12.2992	0.166
12.3992	0.16524
12.4992	0.1645
12.5992	0.16378
12.6992	0.16307
12.7992	0.16239
12.8992	0.16173
12.9991	0.16108
13.0991	0.16046
13.1991	0.15986
13.2991	0.15928
13.3991	0.15872
13.4991	0.15818
13.5991	0.15767
13.6991	0.15717
13.7991	0.1567
13.8991	0.15625
13.9991	0.15583
14.0991	0.15543
14.1991	0.15505
14.2991	0.15469
14.3991	0.15436
14.4991	0.15405
14.599	0.15377
14.699	0.15351
14.799	0.15328
14.899	0.15307
14.999	0.15289
15.099	0.15273
15.199	0.1526
15.299	0.15249
15.399	0.15241
15.499	0.15235
15.599	0.15232
15.699	0.15232
15.799	0.15234
15.899	0.15239
15.999	0.15247
16.0989	0.15257
16.1989	0.1527
16.2989	0.15286
16.3989	0.15304
16.4989	0.15325
16.5989	0.15349
16.6989	0.15375
16.7989	0.15404
16.8989	0.15436
16.9989	0.15471
17.0989	0.15508
17.1989	0.15548
17.2989	0.15591
17.3989	0.15636
17.4989	0.15684
17.5988	0.15735
17.6988	0.15789
17.7988	0.15846
17.8988	0.15905
17.9988	0.15967
18.0988	0.16031
18.1988	0.16099
18.2988	0.16169
18.3988	0.16241
18.4988	0.16317
18.5988	0.16395
18.6988	0.16476
18.7988	0.16559
18.8988	0.16646
18.9988	0.16735
19.0987	0.16826
19.1987	0.1692
19.2987	0.17017
19.3987	0.17117
19.4987	0.17219
19.5987	0.17323
19.6987	0.17431
19.7987	0.1754
19.8987	0.17653
19.9987	0.17768
20.0987	0.17885
20.1987	0.18005
20.2987	0.18127
20.3987	0.18252
20.4987	0.1838
20.5987	0.1851
20.6986	0.18642
20.7986	0.18776
20.8986	0.18913
20.9986	0.19053
21.0986	0.19194
21.1986	0.19338
21.2986	0.19485
21.3986	0.19633
21.4986	0.19784
21.5986	0.19937
21.6986	0.20092
21.7986	0.20249
21.8986	0.20409
21.9986	0.20571
22.0986	0.20734
22.1985	0.209
22.2985	0.21068
22.3985	0.21238
22.4985	0.21409
22.5985	0.21583
22.6985	0.21759
22.7985	0.21936
22.8985	0.22116
22.9985	0.22297
23.0985	0.2248
23.1985	0.22664
23.2985	0.22851
23.3985	0.23039
23.4985	0.23229
23.5985	0.2342
23.6984	0.23613
23.7984	0.23808
23.8984	0.24004
23.9984	0.24201
24.0984	0.244
24.1984	0.24601
24.2984	0.24803
24.3984	0.25006
24.4984	0.2521
24.5984	0.25416
24.6984	0.25623
24.7984	0.25831
24.8984	0.2604
24.9984	0.26251
25.0984	0.26462
25.1983	0.26675
25.2983	0.26888
25.3983	0.27102
25.4983	0.27318
25.5983	0.27534
25.6983	0.27751
25.7983	0.27969
25.8983	0.28187
25.9983	0.28406
26.0983	0.28626
26.1983	0.28847
26.2983	0.29068
26.3983	0.2929
26.4983	0.29512
26.5983	0.29734
26.6983	0.29957
26.7982	0.3018
26.8982	0.30404
26.9982	0.30628
27.0982	0.30852
27.1982	0.31076
27.2982	0.31301
27.3982	0.31525
27.4982	0.3175
27.5982	0.31974
27.6982	0.32199
27.7982	0.32423
27.8982	0.32647
27.9982	0.32872
28.0982	0.33095
28.1982	0.33319
28.2981	0.33542
28.3981	0.33765
28.4981	0.33988
28.5981	0.3421
28.6981	0.34431
28.7981	0.34652
28.8981	0.34872
28.9981	0.35092
29.0981	0.35311
29.1981	0.35529
29.2981	0.35747
29.3981	0.35964
29.4981	0.36179
29.5981	0.36394
29.6981	0.36608
29.798	0.36821
29.898	0.37033
29.998	0.37244
30.098	0.37453
30.198	0.37662
30.298	0.37869
30.398	0.38075
30.498	0.38279
30.598	0.38483
30.698	0.38684
30.798	0.38885
30.898	0.39083
30.998	0.39281
31.098	0.39476
31.198	0.3967
31.298	0.39863
31.3979	0.40053
31.4979	0.40242
31.5979	0.40429
31.6979	0.40614
31.7979	0.40798
31.8979	0.40979
31.9979	0.41158
32.0979	0.41336
32.1979	0.41511
32.2979	0.41684
32.3979	0.41855
32.4979	0.42024
32.5979	0.42191
32.6979	0.42355
32.7979	0.42517
32.8978	0.42677
32.9978	0.42834
33.0978	0.42989
33.1978	0.43142
33.2978	0.43292
33.3978	0.43439
33.4978	0.43584
33.5978	0.43726
33.6978	0.43866
33.7978	0.44003
33.8978	0.44138
33.9978	0.44269
34.0978	0.44398
34.1978	0.44524
34.2978	0.44647
34.3977	0.44768
34.4977	0.44885
34.5977	0.45
34.6977	0.45112
34.7977	0.4522
34.8977	0.45326
34.9977	0.45429
35.0977	0.45528
35.1977	0.45625
35.2977	0.45718
35.3977	0.45809
35.4977	0.45896
35.5977	0.4598
35.6977	0.46061
35.7977	0.46138
35.8976	0.46213
35.9976	0.46284
36.0976	0.46351
36.1976	0.46416
36.2976	0.46477
36.3976	0.46535
36.4976	0.46589
36.5976	0.4664
36.6976	0.46688
36.7976	0.46732
36.8976	0.46773
36.9976	0.46811
37.0976	0.46845
37.1976	0.46875
37.2976	0.46903
37.3976	0.46926
37.4975	0.46946
37.5975	0.46963
37.6975	0.46976
37.7975	0.46986
37.8975	0.46992
37.9975	0.46994
38.0975	0.46994
38.1975	0.46989
38.2975	0.46981
38.3975	0.4697
38.4975	0.46955
38.5975	0.46936
38.6975	0.46914
38.7975	0.46888
38.8975	0.46859
38.9974	0.46827
39.0974	0.4679
39.1974	0.46751
39.2974	0.46708
39.3974	0.46661
39.4974	0.46611
39.5974	0.46557
39.6974	0.465
39.7974	0.46439
39.8974	0.46375
39.9974	0.46307
40.0974	0.46236
40.1974	0.46162
40.2974	0.46084
40.3974	0.46003
40.4973	0.45918
40.5973	0.45831
40.6973	0.45739
40.7973	0.45645
40.8973	0.45547
40.9973	0.45446
41.0973	0.45341
41.1973	0.45233
41.2973	0.45122
41.3973	0.45008
41.4973	0.44891
41.5973	0.44771
41.6973	0.44647
41.7973	0.4452
41.8973	0.4439
41.9972	0.44258
42.0972	0.44122
42.1972	0.43983
42.2972	0.43841
42.3972	0.43697
42.4972	0.43549
42.5972	0.43398
42.6972	0.43245
42.7972	0.43089
42.8972	0.4293
42.9972	0.42768
43.0972	0.42604
43.1972	0.42437
43.2972	0.42268
43.3972	0.42095
43.4972	0.41921
43.5971	0.41743
43.6971	0.41564
43.7971	0.41381
43.8971	0.41197
43.9971	0.4101
44.0971	0.4082
44.1971	0.40629
44.2971	0.40435
44.3971	0.40239
44.4971	0.40041
44.5971	0.39841
44.6971	0.39638
44.7971	0.39434
44.8971	0.39228
44.9971	0.3902
45.097	0.38809
45.197	0.38598
45.297	0.38384
45.397	0.38168
45.497	0.37951
45.597	0.37732
45.697	0.37512
45.797	0.3729
45.897	0.37066
45.997	0.36841
46.097	0.36615
46.197	0.36387
46.297	0.36158
46.397	0.35928
46.497	0.35696
46.5969	0.35464
46.6969	0.3523
46.7969	0.34995
46.8969	0.34759
46.9969	0.34522
47.0969	0.34284
47.1969	0.34046
47.2969	0.33806
47.3969	0.33566
47.4969	0.33325
47.5969	0.33084
47.6969	0.32842
47.7969	0.32599
47.8969	0.32356
47.9969	0.32112
48.0969	0.31868
48.1968	0.31624
48.2968	0.31379
48.3968	0.31134
48.4968	0.30889
48.5968	0.30644
48.6968	0.30398
48.7968	0.30153
48.8968	0.29908
48.9968	0.29662
49.0968	0.29417
49.1968	0.29172
49.2968	0.28927
49.3968	0.28683
49.4968	0.28439
49.5968	0.28195
49.6967	0.27952
49.7967	0.27709
49.8967	0.27466
49.9967	0.27224
50.0967	0.26983
50.1967	0.26743
50.2967	0.26503
50.3967	0.26264
50.4967	0.26026
50.5967	0.25788
50.6967	0.25552
50.7967	0.25316
50.8967	0.25082
50.9967	0.24849
51.0967	0.24616
51.1966	0.24385
51.2966	0.24155
51.3966	0.23926
51.4966	0.23699
51.5966	0.23473
51.6966	0.23248
51.7966	0.23025
51.8966	0.22803
51.9966	0.22583
52.0966	0.22364
52.1966	0.22147
52.2966	0.21932
52.3966	0.21718
52.4966	0.21506
52.5966	0.21295
52.6965	0.21087
52.7965	0.2088
52.8965	0.20676
52.9965	0.20473
53.0965	0.20272
53.1965	0.20073
53.2965	0.19876
53.3965	0.19682
53.4965	0.19489
53.5965	0.19299
53.6965	0.19111
53.7965	0.18925
53.8965	0.18741
53.9965	0.1856
54.0965	0.18381
54.1965	0.18205
54.2964	0.18031
54.3964	0.17859
54.4964	0.1769
54.5964	0.17523
54.6964	0.17359
54.7964	0.17198
54.8964	0.17039
54.9964	0.16883
55.0964	0.16729
55.1964	0.16579
55.2964	0.16431
55.3964	0.16285
55.4964	0.16143
55.5964	0.16003
55.6964	0.15867
55.7963	0.15733
55.8963	0.15602
55.9963	0.15474
56.0963	0.1535
56.1963	0.15228
56.2963	0.15109
56.3963	0.14993
56.4963	0.1488
56.5963	0.14771
56.6963	0.14664
56.7963	0.14561
56.8963	0.14461
56.9963	0.14364
57.0963	0.14271
57.1963	0.1418
57.2962	0.14093
57.3962	0.1401
57.4962	0.13929
57.5962	0.13852
57.6962	0.13778
57.7962	0.13708
57.8962	0.13641
57.9962	0.13578
58.0962	0.13517
58.1962	0.13461
58.2962	0.13408
58.3962	0.13358
58.4962	0.13312
58.5962	0.13269
58.6962	0.1323
58.7961	0.13195
58.8961	0.13163
58.9961	0.13135
59.0961	0.1311
59.1961	0.13089
59.2961	0.13072
59.3961	0.13058
59.4961	0.13048
59.5961	0.13041
59.6961	0.13038
59.7961	0.13039
59.8961	0.13044
59.9961	0.13052
60.0961	0.13064
60.1961	0.1308
60.2961	0.131
60.396	0.13123
60.496	0.1315
60.596	0.13181
60.696	0.13215
60.796	0.13254
60.896	0.13296
60.996	0.13342
61.096	0.13392
61.196	0.13445
61.296	0.13503
61.396	0.13564
61.496	0.13629
61.596	0.13698
61.696	0.1377
61.796	0.13847
61.8959	0.13927
61.9959	0.14011
62.0959	0.14099
62.1959	0.14191
62.2959	0.14287
62.3959	0.14386
62.4959	0.14489
62.5959	0.14596
62.6959	0.14707
62.7959	0.14822
62.8959	0.14941
62.9959	0.15063
63.0959	0.15189
63.1959	0.15319
63.2959	0.15453
63.3958	0.1559
63.4958	0.15732
63.5958	0.15877
63.6958	0.16026
63.7958	0.16178
63.8958	0.16335
63.9958	0.16495
64.0958	0.16659
64.1958	0.16826
64.2958	0.16998
64.3958	0.17173
64.4958	0.17351
64.5958	0.17534
64.6958	0.1772
64.7958	0.17909
64.8958	0.18102
64.9957	0.18299
65.0957	0.185
65.1957	0.18704
65.2957	0.18912
65.3957	0.19123
65.4957	0.19337
65.5957	0.19556
65.6957	0.19777
65.7957	0.20003
65.8957	0.20231
65.9957	0.20463
66.0957	0.20699
66.1957	0.20937
66.2957	0.2118
66.3957	0.21425
66.4956	0.21674
66.5956	0.21926
66.6956	0.22182
66.7956	0.2244
66.8956	0.22702
66.9956	0.22967
67.0956	0.23235
67.1956	0.23506
67.2956	0.23781
67.3956	0.24058
67.4956	0.24338
67.5956	0.24622
67.6956	0.24908
67.7956	0.25197
67.8956	0.2549
67.9955	0.25785
68.0955	0.26083
68.1955	0.26383
68.2955	0.26687
68.3955	0.26993
68.4955	0.27302
68.5955	0.27613
68.6955	0.27927
68.7955	0.28244
68.8955	0.28563
68.9955	0.28884
69.0955	0.29208
69.1955	0.29535
69.2955	0.29863
69.3955	0.30194
69.4954	0.30528
69.5954	0.30863
69.6954	0.31201
69.7954	0.3154
69.8954	0.31882
69.9954	0.32226
70.0954	0.32572
70.1954	0.3292
70.2954	0.3327
70.3954	0.33621
70.4954	0.33974
70.5954	0.34329
70.6954	0.34686
70.7954	0.35044
70.8954	0.35404
70.9954	0.35766
71.0953	0.36129
71.1953	0.36493
71.2953	0.36859
71.3953	0.37225
71.4953	0.37594
71.5953	0.37963
71.6953	0.38334
71.7953	0.38705
71.8953	0.39078
71.9953	0.39451
72.0953	0.39826
72.1953	0.40201
72.2953	0.40578
72.3953	0.40954
72.4953	0.41332
72.5952	0.4171
72.6952	0.42089
72.7952	0.42468
72.8952	0.42848
72.9952	0.43228
73.0952	0.43608
73.1952	0.43989
73.2952	0.4437
73.3952	0.4475
73.4952	0.45131
73.5952	0.45512
73.6952	0.45893
73.7952	0.46274
73.8952	0.46655
73.9952	0.47035
74.0951	0.47415
74.1951	0.47795
74.2951	0.48174
74.3951	0.48553
74.4951	0.48931
74.5951	0.49308
74.6951	0.49685
74.7951	0.50061
74.8951	0.50437
74.9951	0.50811
75.0951	0.51185
75.1951	0.51557
75.2951	0.51929
75.3951	0.52299
75.4951	0.52668
75.595	0.53036
75.695	0.53402
75.795	0.53768
75.895	0.54131
75.995	0.54494
76.095	0.54854
76.195	0.55214
76.295	0.55571
76.395	0.55927
76.495	0.56281
76.595	0.56633
76.695	0.56983
76.795	0.57331
76.895	0.57677
76.995	0.58021
77.095	0.58363
77.1949	0.58703
77.2949	0.5904
77.3949	0.59375
77.4949	0.59708
77.5949	0.60038
77.6949	0.60366
77.7949	0.60692
77.8949	0.61014
77.9949	0.61335
78.0949	0.61652
78.1949	0.61967
78.2949	0.62279
78.3949	0.62588
78.4949	0.62894
78.5949	0.63197
78.6948	0.63498
78.7948	0.63795
78.8948	0.64089
78.9948	0.6438
79.0948	0.64668
79.1948	0.64953
79.2948	0.65235
79.3948	0.65513
79.4948	0.65788
79.5948	0.66059
79.6948	0.66327
79.7948	0.66592
79.8948	0.66853
79.9948	0.67111
80.0948	0.67365
80.1947	0.67615
80.2947	0.67862
80.3947	0.68105
80.4947	0.68345
80.5947	0.68581
80.6947	0.68813
80.7947	0.69041
80.8947	0.69265
80.9947	0.69486
81.0947	0.69702
81.1947	0.69915
81.2947	0.70124
81.3947	0.70329
81.4947	0.7053
81.5947	0.70727
81.6947	0.7092
81.7946	0.71109
81.8946	0.71294
81.9946	0.71475
82.0946	0.71651
82.1946	0.71824
82.2946	0.71993
82.3946	0.72157
82.4946	0.72317
82.5946	0.72473
82.6946	0.72625
82.7946	0.72773
82.8946	0.72917
82.9946	0.73056
83.0946	0.73192
83.1946	0.73323
83.2945	0.73449
83.3945	0.73572
83.4945	0.7369
83.5945	0.73805
83.6945	0.73915
83.7945	0.7402
83.8945	0.74122
83.9945	0.74219
84.0945	0.74313
84.1945	0.74402
84.2945	0.74486
84.3945	0.74567
84.4945	0.74643
84.5945	0.74716
84.6945	0.74784
84.7944	0.74848
84.8944	0.74907
84.9944	0.74963
85.0944	0.75015
85.1944	0.75062
85.2944	0.75105
85.3944	0.75145
85.4944	0.7518
85.5944	0.75211
85.6944	0.75238
85.7944	0.75262
85.8944	0.75281
85.9944	0.75296
86.0944	0.75308
86.1944	0.75315
86.2943	0.75319
86.3943	0.75318
86.4943	0.75314
86.5943	0.75306
86.6943	0.75294
86.7943	0.75279
86.8943	0.7526
86.9943	0.75237
87.0943	0.7521
87.1943	0.7518
87.2943	0.75146
87.3943	0.75109
87.4943	0.75068
87.5943	0.75023
87.6943	0.74975
87.7943	0.74924
87.8942	0.74869
87.9942	0.74811
88.0942	0.74749
88.1942	0.74685
88.2942	0.74617
88.3942	0.74545
88.4942	0.74471
88.5942	0.74393
88.6942	0.74312
88.7942	0.74229
88.8942	0.74142
88.9942	0.74052
89.0942	0.73959
89.1942	0.73863
89.2942	0.73765
89.3941	0.73663
89.4941	0.73559
89.5941	0.73452
89.6941	0.73343
89.7941	0.73231
89.8941	0.73116
89.9941	0.72998
