start in seconds	start hh:mm:ss.ms	annotations
0.5	00:00:00.500	0.0
1.0	00:00:01.0	0.0
1.5	00:00:01.500	0.004
2.5	00:00:02.500	2e-05
5.0	00:00:05.0	0.00019
5.5	00:00:05.500	0.0
6.0	00:00:06.0	0.0
6.5	00:00:06.500	0.0
7.0	00:00:07.0	0.0
7.5	00:00:07.500	0.0
8.0	00:00:08.0	0.20355
8.5	00:00:08.500	0.37901
9.0	00:00:09.0	0.22302
9.5	00:00:09.500	0.20945
10.0	00:00:10.0	0.06743
10.5	00:00:10.500	0.08001
11.0	00:00:11.0	0.0102
11.5	00:00:11.500	0.18156
12.0	00:00:12.0	0.15929
12.5	00:00:12.500	0.00013
13.0	00:00:13.0	3e-05
13.5	00:00:13.500	0.00043
14.0	00:00:14.0	0.22706
14.5	00:00:14.500	0.03077
15.0	00:00:15.0	0.0428
15.5	00:00:15.500	0.0224
16.0	00:00:16.0	0.04014
16.5	00:00:16.500	0.03786
17.0	00:00:17.0	0.05957
17.5	00:00:17.500	0.13592
18.0	00:00:18.0	0.18843
18.5	00:00:18.500	0.12859
19.0	00:00:19.0	0.13679
19.5	00:00:19.500	0.0061
20.0	00:00:20.0	0.17128
20.5	00:00:20.500	0.14959
21.0	00:00:21.0	0.22691
21.5	00:00:21.500	0.19695
22.0	00:00:22.0	0.21862
22.5	00:00:22.500	0.19727
23.0	00:00:23.0	0.24641
23.5	00:00:23.500	0.26541
24.0	00:00:24.0	0.37428
24.5	00:00:24.500	0.19732
25.0	00:00:25.0	0.17112
25.5	00:00:25.500	0.20588
26.0	00:00:26.0	0.23356
26.5	00:00:26.500	0.25379
27.0	00:00:27.0	0.29096
27.5	00:00:27.500	0.25156
28.0	00:00:28.0	0.10736
28.5	00:00:28.500	0.06874
29.0	00:00:29.0	0.14388
36.0	00:00:36.0	0.00052
36.5	00:00:36.500	0.03315
37.0	00:00:37.0	0.05166
37.5	00:00:37.500	0.0949
38.0	00:00:38.0	0.00337
38.5	00:00:38.500	0.3205
39.0	00:00:39.0	0.0131
39.5	00:00:39.500	0.00079
40.0	00:00:40.0	0.03382
40.5	00:00:40.500	0.10843
41.0	00:00:41.0	0.93164
41.5	00:00:41.500	0.30085
42.0	00:00:42.0	0.93889
42.5	00:00:42.500	0.29012
43.0	00:00:43.0	0.79582
44.0	00:00:44.0	1e-05
44.5	00:00:44.500	0.19081
45.0	00:00:45.0	0.05009
45.5	00:00:45.500	0.00148
46.0	00:00:46.0	0.00021
46.5	00:00:46.500	0.03172
47.0	00:00:47.0	0.0136
47.5	00:00:47.500	0.02717
48.0	00:00:48.0	0.04654
48.5	00:00:48.500	0.1359
49.0	00:00:49.0	0.00119
49.5	00:00:49.500	0.00088
50.0	00:00:50.0	0.00057
50.5	00:00:50.500	0.02311
51.0	00:00:51.0	0.03231
51.5	00:00:51.500	0.00573
52.0	00:00:52.0	0.02461
52.5	00:00:52.500	0.016
53.0	00:00:53.0	0.0438
53.5	00:00:53.500	0.00947
54.0	00:00:54.0	0.00538
54.5	00:00:54.500	0.05106
55.0	00:00:55.0	0.00362
55.5	00:00:55.500	0.00219
56.0	00:00:56.0	0.00822
56.5	00:00:56.500	0.0766
57.0	00:00:57.0	5e-05
57.5	00:00:57.500	0.00413
58.0	00:00:58.0	0.01589
58.5	00:00:58.500	0.00597
59.0	00:00:59.0	0.61152
59.5	00:00:59.500	0.15218
60.0	00:01:00.0	0.00044
60.5	00:01:00.500	0.00292
61.0	00:01:01.0	0.0478
61.5	00:01:01.500	0.36777
62.0	00:01:02.0	0.00036
62.5	00:01:02.500	0.03784
63.0	00:01:03.0	0.06337
63.5	00:01:03.500	0.10794
64.0	00:01:04.0	0.01106
64.5	00:01:04.500	0.04429
65.0	00:01:05.0	0.59164
65.5	00:01:05.500	4e-05
66.0	00:01:06.0	0.00279
66.5	00:01:06.500	0.01787
67.0	00:01:07.0	0.0293
67.5	00:01:07.500	0.0021
68.0	00:01:08.0	0.0751
68.5	00:01:08.500	0.0802
69.0	00:01:09.0	0.00116
69.5	00:01:09.500	8e-05
70.0	00:01:10.0	0.00106
70.5	00:01:10.500	0.02506
71.0	00:01:11.0	0.01279
71.5	00:01:11.500	0.00023
72.0	00:01:12.0	0.02378
72.5	00:01:12.500	0.00358
73.0	00:01:13.0	0.15847
73.5	00:01:13.500	0.18825
74.0	00:01:14.0	0.49768
74.5	00:01:14.500	0.00839
75.0	00:01:15.0	0.03343
75.5	00:01:15.500	0.39025
76.0	00:01:16.0	0.0
76.5	00:01:16.500	0.0
80.0	00:01:20.0	0.00807
80.5	00:01:20.500	0.00027
81.0	00:01:21.0	3e-05
81.5	00:01:21.500	0.00013
82.0	00:01:22.0	0.00077
82.5	00:01:22.500	0.00697
83.0	00:01:23.0	0.01487
83.5	00:01:23.500	0.32544
84.0	00:01:24.0	0.00893
84.5	00:01:24.500	0.02828
85.0	00:01:25.0	0.95251
85.5	00:01:25.500	0.97799
86.0	00:01:26.0	0.94381
86.5	00:01:26.500	0.99028
87.0	00:01:27.0	0.97131
87.5	00:01:27.500	0.58804
88.0	00:01:28.0	0.0001
88.5	00:01:28.500	2e-05
89.0	00:01:29.0	0.00014
89.5	00:01:29.500	0.0
90.0	00:01:30.0	0.0
