start in seconds	annotations
0	0.01579
0.5	0.0
1	0.00148
1.5	0.00734
2	0.01576
2.5	0.01903
3	0.03132
3.5	0.05055
4	0.0721
4.5	0.096
5	0.12265
5.5	0.15343
6	0.17124
6.5	0.20225
7	0.24332
7.5	0.27715
8	0.30039
8.5	0.31478
9	0.33073
9.5	0.35892
10	0.37804
10.5	0.37195
11	0.3444
11.5	0.32909
12	0.29782
12.5	0.24859
13	0.24857
13.5	0.27579
14	0.28336
14.5	0.33579
15	0.3385
15.5	0.38562
16	0.42381
16.5	0.44954
17	0.45844
17.5	0.45963
18	0.45797
18.5	0.45674
19	0.45681
19.5	0.45568
20	0.4568
20.5	0.45649
21	0.4591
21.5	0.46108
22	0.4635
22.5	0.47551
23	0.47595
23.5	0.47626
24	0.47586
24.5	0.47556
25	0.47607
25.5	0.47484
26	0.47549
26.5	0.47521
27	0.47538
27.5	0.4742
28	0.47488
28.5	0.47458
29	0.47429
29.5	0.53239
30	0.53118
30.5	0.52792
31	0.50801
31.5	0.49681
32	0.49524
32.5	0.50463
33	0.50706
33.5	0.51459
34	0.5182
34.5	0.51877
35	0.50772
35.5	0.4945
36	0.48079
36.5	0.53174
37	0.56087
37.5	0.55389
38	0.54687
38.5	0.48118
39	0.43389
39.5	0.47856
40	0.42127
40.5	0.4175
41	0.42426
41.5	0.48161
42	0.52949
42.5	0.5559
43	0.56748
43.5	0.59297
44	0.43255
44.5	0.43324
45	0.43431
45.5	0.43608
46	0.43635
46.5	0.43582
47	0.43607
47.5	0.43443
48	0.43547
48.5	0.43556
49	0.43551
49.5	0.43434
50	0.43434
50.5	0.43448
51	0.43467
51.5	0.43365
52	0.43487
52.5	0.43488
53	0.43526
53.5	0.43415
54	0.4348
54.5	0.43487
55	0.43518
55.5	0.43469
56	0.43442
56.5	0.4344
57	0.43578
57.5	0.43524
58	0.43557
58.5	0.43628
59	0.43582
59.5	0.43407
60	0.43423
60.5	0.43477
61	0.43514
61.5	0.43471
62	0.43538
62.5	0.43562
63	0.43504
63.5	0.43463
64	0.43399
64.5	0.43485
65	0.43463
65.5	0.43479
66	0.43514
66.5	0.43536
67	0.43537
67.5	0.43384
68	0.4355
68.5	0.43488
69	0.43497
69.5	0.43468
70	0.43524
70.5	0.43454
71	0.43438
71.5	0.43388
72	0.43467
72.5	0.43505
73	0.43505
73.5	0.43402
74	0.43449
74.5	0.43317
75	0.43332
75.5	0.4327
76	0.43204
76.5	0.43246
77	0.87879
77.5	0.87863
78	0.87686
78.5	0.85481
79	0.85559
79.5	0.85613
80	0.54318
80.5	0.54044
81	0.54143
81.5	0.54166
82	0.54259
82.5	0.54215
83	0.70096
83.5	0.72739
84	0.72873
84.5	0.72589
85	0.43222
85.5	0.42465
86	0.42286
86.5	0.42434
87	0.42545
87.5	0.42331
88	0.34618
88.5	0.28604
89	0.30149
89.5	0.27136
90	0.27513
