start in seconds	start hh:mm:ss.ms	annotations
0.0	00:00:00.0	0.0
0.064	00:00:00.64	1e-05
0.128	00:00:00.128	1e-05
0.192	00:00:00.192	2e-05
0.256	00:00:00.256	2e-05
0.32	00:00:00.320	2e-05
0.384	00:00:00.384	2e-05
0.448	00:00:00.448	2e-05
0.512	00:00:00.512	2e-05
0.576	00:00:00.576	1e-05
0.64	00:00:00.640	9e-05
0.704	00:00:00.704	0.00069
0.768	00:00:00.768	0.00125
0.832	00:00:00.832	0.00148
0.896	00:00:00.896	0.00171
0.96	00:00:00.960	0.00171
1.024	00:00:01.24	0.00165
1.088	00:00:01.88	0.00157
1.152	00:00:01.152	0.00154
1.216	00:00:01.216	0.00166
1.28	00:00:01.280	0.00158
1.344	00:00:01.344	0.00159
1.408	00:00:01.408	0.00153
1.472	00:00:01.472	0.00149
1.536	00:00:01.536	0.00145
1.6	00:00:01.600	0.00154
1.664	00:00:01.664	0.00163
1.728	00:00:01.728	0.00161
1.792	00:00:01.792	0.00167
1.856	00:00:01.856	0.00165
1.92	00:00:01.920	0.00158
1.984	00:00:01.984	0.00152
2.048	00:00:02.48	0.00147
2.112	00:00:02.112	0.00149
2.176	00:00:02.176	0.00151
2.24	00:00:02.240	0.00149
2.304	00:00:02.304	0.00151
2.368	00:00:02.368	0.00165
2.432	00:00:02.432	0.00182
2.496	00:00:02.496	0.00193
2.56	00:00:02.560	0.00209
2.624	00:00:02.624	0.00205
2.688	00:00:02.688	0.00192
2.752	00:00:02.752	0.00183
2.816	00:00:02.816	0.12024
2.88	00:00:02.880	0.48927
2.944	00:00:02.944	0.76218
3.008	00:00:03.8	0.93724
3.072	00:00:03.72	1.0
3.136	00:00:03.136	0.93143
3.2	00:00:03.200	0.73526
3.264	00:00:03.264	0.49443
3.328	00:00:03.328	0.34082
3.392	00:00:03.392	0.16201
3.456	00:00:03.456	0.17947
3.52	00:00:03.520	0.43299
3.584	00:00:03.584	0.60732
3.648	00:00:03.648	0.68413
3.712	00:00:03.712	0.70252
3.776	00:00:03.776	0.58697
3.84	00:00:03.840	0.39496
3.904	00:00:03.904	0.23656
3.968	00:00:03.968	0.11201
4.032	00:00:04.32	0.23932
4.096	00:00:04.96	0.48125
4.16	00:00:04.160	0.61317
4.224	00:00:04.224	0.65224
4.288	00:00:04.288	0.6456
4.352	00:00:04.352	0.51476
4.416	00:00:04.416	0.34799
4.48	00:00:04.480	0.26431
4.544	00:00:04.544	0.1625
4.608	00:00:04.608	0.05925
4.672	00:00:04.672	0.03697
4.736	00:00:04.736	0.02435
4.8	00:00:04.800	0.01972
4.864	00:00:04.864	0.01647
4.928	00:00:04.928	0.01479
4.992	00:00:04.992	0.01497
5.056	00:00:05.56	0.01444
5.12	00:00:05.120	0.01483
5.184	00:00:05.184	0.01465
5.248	00:00:05.248	0.01408
5.312	00:00:05.312	0.05561
5.376	00:00:05.376	0.08342
5.44	00:00:05.440	0.08514
5.504	00:00:05.504	0.1046
5.568	00:00:05.568	0.10079
5.632	00:00:05.632	0.08149
5.696	00:00:05.696	0.08125
5.76	00:00:05.760	0.05472
5.824	00:00:05.824	0.07328
5.888	00:00:05.888	0.07273
5.952	00:00:05.952	0.07097
6.016	00:00:06.16	0.07032
6.08	00:00:06.80	0.02078
6.144	00:00:06.144	0.01331
6.208	00:00:06.208	0.01341
6.272	00:00:06.272	0.03317
6.336	00:00:06.336	0.07138
6.4	00:00:06.400	0.13305
6.464	00:00:06.464	0.16778
6.528	00:00:06.528	0.2076
6.592	00:00:06.592	0.22802
6.656	00:00:06.656	0.21127
6.72	00:00:06.720	0.19731
6.784	00:00:06.784	0.1676
6.848	00:00:06.848	0.14897
6.912	00:00:06.912	0.14035
6.976	00:00:06.976	0.12805
7.04	00:00:07.40	0.12853
7.104	00:00:07.104	0.11803
7.168	00:00:07.168	0.11618
7.232	00:00:07.232	0.14133
7.296	00:00:07.296	0.24947
7.36	00:00:07.360	0.29385
7.424	00:00:07.424	0.30581
7.488	00:00:07.488	0.30228
7.552	00:00:07.552	0.21409
7.616	00:00:07.616	0.13324
7.68	00:00:07.680	0.09148
7.744	00:00:07.744	0.05199
7.808	00:00:07.808	0.04412
7.872	00:00:07.872	0.07123
7.936	00:00:07.936	0.26802
8.0	00:00:08.0	0.51033
8.064	00:00:08.64	0.65849
8.128	00:00:08.128	0.78986
8.192	00:00:08.192	0.88024
8.256	00:00:08.256	0.84323
8.32	00:00:08.320	0.86207
8.384	00:00:08.384	0.88171
8.448	00:00:08.448	0.84905
8.512	00:00:08.512	0.82044
8.576	00:00:08.576	0.69018
8.64	00:00:08.640	0.50251
8.704	00:00:08.704	0.30721
8.768	00:00:08.768	0.2715
8.832	00:00:08.832	0.44833
8.896	00:00:08.896	0.46389
8.96	00:00:08.960	0.46419
9.024	00:00:09.24	0.40379
9.088	00:00:09.88	0.28955
9.152	00:00:09.152	0.35527
9.216	00:00:09.216	0.38185
9.28	00:00:09.280	0.39625
9.344	00:00:09.344	0.35374
9.408	00:00:09.408	0.3765
9.472	00:00:09.472	0.46997
9.536	00:00:09.536	0.52164
9.6	00:00:09.600	0.50452
9.664	00:00:09.664	0.43393
9.728	00:00:09.728	0.31266
9.792	00:00:09.792	0.19239
9.856	00:00:09.856	0.32028
9.92	00:00:09.920	0.44349
9.984	00:00:09.984	0.46142
10.048	00:00:10.48	0.45914
10.112	00:00:10.112	0.39262
10.176	00:00:10.176	0.27962
10.24	00:00:10.240	0.29273
10.304	00:00:10.304	0.29199
10.368	00:00:10.368	0.26244
10.432	00:00:10.432	0.19962
10.496	00:00:10.496	0.06775
10.56	00:00:10.560	0.03812
10.624	00:00:10.624	0.02609
10.688	00:00:10.688	0.01998
10.752	00:00:10.752	0.01763
10.816	00:00:10.816	0.014
10.88	00:00:10.880	0.01181
10.944	00:00:10.944	0.01041
11.008	00:00:11.8	0.00985
11.072	00:00:11.72	0.01015
11.136	00:00:11.136	0.00996
11.2	00:00:11.200	0.00975
11.264	00:00:11.264	0.00949
11.328	00:00:11.328	0.00865
11.392	00:00:11.392	0.00841
11.456	00:00:11.456	0.00874
11.52	00:00:11.520	0.00896
11.584	00:00:11.584	0.00883
11.648	00:00:11.648	0.009
11.712	00:00:11.712	0.00914
11.776	00:00:11.776	0.00944
11.84	00:00:11.840	0.01129
11.904	00:00:11.904	0.04734
11.968	00:00:11.968	0.08263
12.032	00:00:12.32	0.19063
12.096	00:00:12.96	0.37814
12.16	00:00:12.160	0.62076
12.224	00:00:12.224	0.78112
12.288	00:00:12.288	0.82753
12.352	00:00:12.352	0.79285
12.416	00:00:12.416	0.64262
12.48	00:00:12.480	0.43653
12.544	00:00:12.544	0.3858
12.608	00:00:12.608	0.38911
12.672	00:00:12.672	0.38122
12.736	00:00:12.736	0.41165
12.8	00:00:12.800	0.34601
12.864	00:00:12.864	0.3882
12.928	00:00:12.928	0.46734
12.992	00:00:12.992	0.47567
13.056	00:00:13.56	0.50938
13.12	00:00:13.120	0.43871
13.184	00:00:13.184	0.38707
13.248	00:00:13.248	0.40352
13.312	00:00:13.312	0.36532
13.376	00:00:13.376	0.41658
13.44	00:00:13.440	0.51568
13.504	00:00:13.504	0.59655
13.568	00:00:13.568	0.64275
13.632	00:00:13.632	0.65168
13.696	00:00:13.696	0.61213
13.76	00:00:13.760	0.56175
13.824	00:00:13.824	0.54287
13.888	00:00:13.888	0.55706
13.952	00:00:13.952	0.47878
14.016	00:00:14.16	0.3855
14.08	00:00:14.80	0.31115
14.144	00:00:14.144	0.11422
14.208	00:00:14.208	0.06482
14.272	00:00:14.272	0.04687
14.336	00:00:14.336	0.03332
14.4	00:00:14.400	0.02681
14.464	00:00:14.464	0.02208
14.528	00:00:14.528	0.01892
14.592	00:00:14.592	0.01698
14.656	00:00:14.656	0.01433
14.72	00:00:14.720	0.0126
14.784	00:00:14.784	0.1297
14.848	00:00:14.848	0.13609
14.912	00:00:14.912	0.24044
14.976	00:00:14.976	0.24871
15.04	00:00:15.40	0.21392
15.104	00:00:15.104	0.21063
15.168	00:00:15.168	0.07182
15.232	00:00:15.232	0.03416
15.296	00:00:15.296	0.025
15.36	00:00:15.360	0.01822
15.424	00:00:15.424	0.01518
15.488	00:00:15.488	0.01291
15.552	00:00:15.552	0.01031
15.616	00:00:15.616	0.00868
15.68	00:00:15.680	0.00842
15.744	00:00:15.744	0.00837
15.808	00:00:15.808	0.00809
15.872	00:00:15.872	0.00832
15.936	00:00:15.936	0.00871
16.0	00:00:16.0	0.01048
16.064	00:00:16.64	0.0196
16.128	00:00:16.128	0.03923
16.192	00:00:16.192	0.30587
16.256	00:00:16.256	0.42117
16.32	00:00:16.320	0.47297
16.384	00:00:16.384	0.51327
16.448	00:00:16.448	0.44941
16.512	00:00:16.512	0.39076
16.576	00:00:16.576	0.36969
16.64	00:00:16.640	0.32685
16.704	00:00:16.704	0.45809
16.768	00:00:16.768	0.52694
16.832	00:00:16.832	0.60273
16.896	00:00:16.896	0.65465
16.96	00:00:16.960	0.56454
17.024	00:00:17.24	0.47664
17.088	00:00:17.88	0.33696
17.152	00:00:17.152	0.19713
17.216	00:00:17.216	0.16523
17.28	00:00:17.280	0.20389
17.344	00:00:17.344	0.31742
17.408	00:00:17.408	0.53726
17.472	00:00:17.472	0.59369
17.536	00:00:17.536	0.59456
17.6	00:00:17.600	0.55862
17.664	00:00:17.664	0.45722
17.728	00:00:17.728	0.46552
17.792	00:00:17.792	0.64644
17.856	00:00:17.856	0.75356
