start in seconds	start hh:mm:ss.ms	annotations
0.0	00:00:00.0	[0.0004128 0.        0.0006192]
0.5	00:00:00.500	[0.0004128 0.        0.0006192]
1.0	00:00:01.0	[3.39482284e-03 7.73993808e-05 5.76840385e-03]
1.5	00:00:01.500	[3.03792570e-03 3.00997592e-05 5.19435845e-03]
2.0	00:00:02.0	[2.46818025e-03 2.57997936e-05 4.28921569e-03]
2.5	00:00:02.500	[4.44616443e-03 2.14998280e-06 8.17853457e-03]
3.0	00:00:03.0	[0.46181416 0.48024381 0.48304739]
3.5	00:00:03.500	[0.48382783 0.50396887 0.5126806 ]
4.0	00:00:04.0	[0.48255504 0.50844943 0.53087805]
4.5	00:00:04.500	[0.46582172 0.50394522 0.53485337]
5.0	00:00:05.0	[0.43458247 0.5068348  0.46196035]
5.5	00:00:05.500	[0.56165076 0.57258127 0.54822626]
6.0	00:00:06.0	[0.53491142 0.54677073 0.53395683]
6.5	00:00:06.500	[0.54870786 0.55925998 0.54837246]
7.0	00:00:07.0	[0.55995442 0.57573529 0.56722136]
7.5	00:00:07.500	[0.55428922 0.56009417 0.54594728]
8.0	00:00:08.0	[0.56497033 0.59259331 0.55778939]
8.5	00:00:08.500	[0.55989422 0.58627021 0.57674149]
9.0	00:00:09.0	[0.5621517  0.58261094 0.5622807 ]
9.5	00:00:09.500	[0.55962977 0.57377666 0.56450593]
10.0	00:00:10.0	[0.65831183 0.68279584 0.67661249]
10.5	00:00:10.500	[0.53421913 0.53495012 0.53040076]
11.0	00:00:11.0	[0.54239981 0.54684598 0.5558759 ]
11.5	00:00:11.500	[0.55079764 0.55305083 0.55951797]
12.0	00:00:12.0	[0.55376462 0.55882138 0.56164216]
12.5	00:00:12.500	[0.55176299 0.55584795 0.56529068]
13.0	00:00:13.0	[0.56940574 0.57896027 0.5880676 ]
13.5	00:00:13.500	[0.60585225 0.62889147 0.64044118]
14.0	00:00:14.0	[0.59033583 0.60259933 0.60938467]
14.5	00:00:14.500	[0.60189843 0.60969857 0.61005977]
15.0	00:00:15.0	[0.60532981 0.62058609 0.62207387]
15.5	00:00:15.500	[0.63223899 0.64989465 0.64463149]
16.0	00:00:16.0	[0.52519565 0.54562049 0.51107456]
16.5	00:00:16.500	[0.54511739 0.57200937 0.54531519]
17.0	00:00:17.0	[0.56563682 0.59800697 0.57710053]
17.5	00:00:17.500	[0.57963106 0.61795236 0.59510234]
18.0	00:00:18.0	[0.56015867 0.59518619 0.56789001]
18.5	00:00:18.500	[0.52010449 0.54169032 0.51586472]
19.0	00:00:19.0	[0.52278552 0.54299536 0.50933523]
19.5	00:00:19.500	[0.5186382  0.53420408 0.50073314]
20.0	00:00:20.0	[0.54905831 0.56794376 0.53012126]
20.5	00:00:20.500	[0.55463106 0.58077485 0.54917011]
21.0	00:00:21.0	[0.56494453 0.58839654 0.56328474]
21.5	00:00:21.500	[0.55951582 0.58206484 0.5496603 ]
22.0	00:00:22.0	[0.5566757  0.57818412 0.54521629]
22.5	00:00:22.500	[0.42433781 0.46389749 0.43361713]
23.0	00:00:23.0	[0.47827657 0.49686103 0.44045408]
23.5	00:00:23.500	[0.62058394 0.62379171 0.55249828]
24.0	00:00:24.0	[0.59299106 0.58994668 0.49361025]
24.5	00:00:24.500	[0.60750774 0.60620915 0.50915033]
25.0	00:00:25.0	[0.57631364 0.57426686 0.49843266]
25.5	00:00:25.500	[0.55938467 0.56279025 0.48974243]
26.0	00:00:26.0	[0.46559598 0.49064757 0.44119797]
26.5	00:00:26.500	[0.40776789 0.4560995  0.444352  ]
27.0	00:00:27.0	[0.40926643 0.46056502 0.44751892]
27.5	00:00:27.500	[0.47435931 0.66155401 0.6812801 ]
28.0	00:00:28.0	[0.48969943 0.643793   0.69205366]
28.5	00:00:28.500	[0.49825851 0.65410432 0.70282078]
29.0	00:00:29.0	[0.52280917 0.67915807 0.72306287]
29.5	00:00:29.500	[0.53903939 0.69295021 0.72968481]
30.0	00:00:30.0	[0.50986842 0.66553148 0.70361627]
30.5	00:00:30.500	[0.47318326 0.61280745 0.6566542 ]
31.0	00:00:31.0	[0.48300654 0.62357671 0.66973254]
31.5	00:00:31.500	[0.50891813 0.65500086 0.70282293]
32.0	00:00:32.0	[0.51473598 0.6687156  0.7131063 ]
32.5	00:00:32.500	[0.5003096  0.65654455 0.70007525]
33.0	00:00:33.0	[0.00145769 0.04974415 0.02133858]
33.5	00:00:33.500	[0.00129859 0.04837461 0.02010019]
34.0	00:00:34.0	[0.00122334 0.04859176 0.02131923]
34.5	00:00:34.500	[0.00128784 0.0494625  0.02186103]
35.0	00:00:35.0	[0.00110079 0.0496173  0.02163098]
